report_id,file,rVSM_similarity,collab_filter,classname_similarity,bug_recency,bug_frequency,match
1,tests\bugs175\pr423257\AspectX.java,0.0,0.0,0.0,0,0,1
1,runtime\src\main\java\org\aspectj\lang\reflect\AjType.java,0.21513359097601353,0.0,0.0,0,0,0
1,ajbrowser\src\main\java\org\aspectj\tools\ajbrowser\core\BrowserCompilerConfiguration.java,0.0951549361686081,0.0,0.0,0,0,0
1,tests\src\test\java\org\aspectj\systemtest\knownfailures\KnownfailuresTests.java,0.08958531174002222,0.0,0.0,0,0,0
1,bcel-builder\src\main\java\org\aspectj\apache\bcel\generic\Instruction.java,0.08051419623127296,0.0,0.0,0,0,0
1,weaver\src\test\java\org\aspectj\weaver\tools\cache\AbstractCacheBackingTestSupport.java,0.07052302702752297,0.0,0.0,0,0,0
1,util\src\test\java\org\aspectj\util\GenericSignatureParserTest.java,0.06460073570088919,0.0,0.0,0,0,0
1,tests\pureJava\NestedSynchronized.java,0.06449276654185854,0.0,0.0,0,0,0
1,tests\new\AfterReturningHandler.java,0.06437099366532756,0.0,0.0,0,0,0
1,tests\new\testPackage\Class1.java,0.06437099366532754,0.0,0.0,0,0,0
1,ajde\testdata\examples\spacewar\spacewar\Debug.java,0.06277827887049428,0.0,0.0,0,0,0
1,weaver\src\main\java\org\aspectj\weaver\bcel\BcelPerClauseAspectAdder.java,0.06051608602786004,0.0,0.0,0,0,0
1,tests\bugs154\pr169432\case3\A.java,0.05724724517879047,0.0,0.0,0,0,0
1,tests\bugs171\pr384398_2\B.java,0.057143143343245835,0.0,0.0,0,0,0
1,org.aspectj.ajdt.core\src\main\java\org\aspectj\org\eclipse\jdt\core\dom\PatternNode.java,0.056727017153470616,0.0,0.0,0,0,0
1,tests\bugs150\pr106130\AroundLotsOfVars.java,0.05629715757507138,0.0,0.0,0,0,0
1,org.aspectj.matcher\src\main\java\org\aspectj\weaver\Utils.java,0.055622002868581766,0.0,0.0,0,0,0
1,testing-util\src\main\java\org\aspectj\testing\util\TestUtil.java,0.05555051500216655,0.0,0.0,0,0,0
1,tests\bugs170\pr382435\one\bug\A.java,0.05331749446859652,0.0,0.0,0,0,0
1,testing\src\test\java\org\aspectj\testing\harness\bridge\AjcMessageHandler.java,0.05056913917297485,0.0,0.0,0,0,0
1,bcel-builder\src\main\java\org\aspectj\apache\bcel\generic\InvokeDynamic.java,0.04948140316871814,0.0,0.0,0,0,0
1,org.aspectj.matcher\src\main\java\org\aspectj\weaver\WeaverStateInfo.java,0.048911941281930736,0.0,0.0,0,0,0
1,org.aspectj.matcher\src\test\java\org\aspectj\weaver\patterns\ConstantPoolSimulator.java,0.048879125589906265,0.0,0.0,0,0,0
1,bcel-builder\src\main\java\org\aspectj\apache\bcel\generic\InstructionList.java,0.0480798960755548,0.0,0.0,0,0,0
1,tests\bugs1610\pr324932\A.java,0.04344403290745275,0.0,0.0,0,0,0
1,runtime\src\main\java\org\aspectj\internal\lang\reflect\InterTypeDeclarationImpl.java,0.03988109621044448,0.0,0.0,0,0,0
1,tests\bugs161\pr235829\a\b\Adapter.java,0.03924270151307828,0.0,0.0,0,0,0
1,tests\src\test\java\org\aspectj\systemtest\ajc164\Ajc164Tests.java,0.036669854198350095,0.0,0.0,0,0,0
1,docs\sandbox\ubc-design-patterns\src\ca\ubc\cs\spl\aspectPatterns\examples\facade\aspectj\Decoration.java,0.0359675563331193,0.0,0.0,0,0,0
